filingtype,page,link,cmte,office,period,year,draft
campaign,24,/pdf_files/EFS_generated/PCC_07_160_3415_A_2_1.pdf,Ward 7 Neighbors for Mesidor,"Mesidor, Cleve",January 31st Report,2007,Amendment 2
campaign,24,/pdf_files/EFS_generated/PCC_07_168_3153_A_1_1.pdf,Committee to Elect Artee Milligan,"Milligan, Artee",July 31st Report,2007,Amendment 1
campaign,25,/pdf_files/EFS_generated/PCC_07_160_3153_O_0_1.pdf,Committee to Elect Artee Milligan,"Milligan, Artee",January 31st Report,2007,Original
campaign,25,/pdf_files/EFS_generated/PCC_07_168_3153_O_0_1.pdf,Committee to Elect Artee Milligan,"Milligan, Artee",July 31st Report,2007,Original
campaign,25,/pdf_files/EFS_generated/PCC_07_160_3153_A_1_1.pdf,Committee to Elect Artee Milligan,"Milligan, Artee",January 31st Report,2007,Amendment 1
campaign,25,/pdf_files/EFS_generated/PCC_07_173_3476_O_0_1.pdf,Milligan for Ward 4 Committee,"Milligan, Artee RT",October 10th Report,2007,Original
campaign,25,/pdf_files/EFS_generated/PCC_07_164_3476_A_1_1.pdf,Milligan for Ward 4 Committee,"Milligan, Artee RT",March 10th Report,2007,Amendment 1
campaign,25,/pdf_files/EFS_generated/PCC_07_281_3476_O_0_1.pdf,Milligan for Ward 4 Committee,"Milligan, Artee RT",8 Day Pre Special Election Report,2007,Original
campaign,25,/pdf_files/EFS_generated/PCC_07_281_3476_A_1_1.pdf,Milligan for Ward 4 Committee,"Milligan, Artee RT",8 Day Pre Special Election Report,2007,Amendment 1
campaign,25,/pdf_files/EFS_generated/PCC_07_164_3476_A_3_1.pdf,Milligan for Ward 4 Committee,"Milligan, Artee RT",March 10th Report,2007,Amendment 3
campaign,25,/pdf_files/EFS_generated/PCC_07_281_3476_A_2_1.pdf,Milligan for Ward 4 Committee,"Milligan, Artee RT",8 Day Pre Special Election Report,2007,Amendment 2
campaign,25,/pdf_files/EFS_generated/PCC_07_175_3476_O_0_1.pdf,Milligan for Ward 4 Committee,"Milligan, Artee RT",December 10th Report,2007,Original
campaign,26,/pdf_files/EFS_generated/PCC_07_170_3476_O_0_1.pdf,Milligan for Ward 4 Committee,"Milligan, Artee RT",August 10th Report,2007,Original
campaign,26,/pdf_files/EFS_generated/PCC_07_164_3476_O_0_1.pdf,Milligan for Ward 4 Committee,"Milligan, Artee RT",March 10th Report,2007,Original
campaign,26,/pdf_files/EFS_generated/PCC_07_166_3476_O_0_1.pdf,Milligan for Ward 4 Committee,"Milligan, Artee RT",June 10th Report,2007,Original
campaign,26,/pdf_files/EFS_generated/PCC_07_173_3476_A_3_1.pdf,Milligan for Ward 4 Committee,"Milligan, Artee RT",October 10th Report,2007,Amendment 3
campaign,26,/pdf_files/EFS_generated/PCC_07_160_3476_A_2_1.pdf,Milligan for Ward 4 Committee,"Milligan, Artee RT",January 31st Report,2007,Amendment 2
campaign,26,/pdf_files/EFS_generated/PCC_07_164_3476_A_2_1.pdf,Milligan for Ward 4 Committee,"Milligan, Artee RT",March 10th Report,2007,Amendment 2
campaign,26,/pdf_files/EFS_generated/PCC_07_160_3476_O_0_1.pdf,Milligan for Ward 4 Committee,"Milligan, Artee RT",January 31st Report,2007,Original
campaign,26,/pdf_files/EFS_generated/PCC_07_160_3476_A_1_1.pdf,Milligan for Ward 4 Committee,"Milligan, Artee RT",January 31st Report,2007,Amendment 1
campaign,26,/pdf_files/EFS_generated/PCC_07_281_3476_A_3_1.pdf,Milligan for Ward 4 Committee,"Milligan, Artee RT",8 Day Pre Special Election Report,2007,Amendment 3
campaign,26,/pdf_files/EFS_generated/PCC_07_166_3476_A_1_1.pdf,Milligan for Ward 4 Committee,"Milligan, Artee RT",June 10th Report,2007,Amendment 1
campaign,27,/pdf_files/EFS_generated/PCC_07_170_3476_A_1_1.pdf,Milligan for Ward 4 Committee,"Milligan, Artee RT",August 10th Report,2007,Amendment 1
campaign,27,/pdf_files/EFS_generated/PCC_07_173_3476_A_1_1.pdf,Milligan for Ward 4 Committee,"Milligan, Artee RT",October 10th Report,2007,Amendment 1
campaign,27,/pdf_files/EFS_generated/PCC_07_175_3476_A_1_1.pdf,Milligan for Ward 4 Committee,"Milligan, Artee RT",December 10th Report,2007,Amendment 1
campaign,27,/pdf_files/EFS_generated/PCC_07_173_3476_A_2_1.pdf,Milligan for Ward 4 Committee,"Milligan, Artee RT",October 10th Report,2007,Amendment 2
campaign,27,/pdf_files/EFS_generated/PCC_07_182_3177_O_0_1.pdf,Moore for Ward 5,"Moore, Miriam",Termination Report,2007,Original
campaign,27,/pdf_files/EFS_generated/PCC_07_182_3200_O_0_1.pdf,Moore for People Mayoral Committee,"Moore, Dennis",Termination Report,2007,Original
campaign,27,/pdf_files/EFS_generated/PCC_07_182_3425_O_0_1.pdf,Mona Odom Campaign Fund,"Odom, Mona",Termination Report,2007,Original
campaign,27,/pdf_files/EFS_generated/PCC_07_160_3425_O_0_1.pdf,Mona Odom Campaign Fund,"Odom, Mona",January 31st Report,2007,Original
campaign,27,/pdf_files/EFS_generated/PCC_07_160_3425_A_1_1.pdf,Mona Odom Campaign Fund,"Odom, Mona",January 31st Report,2007,Amendment 1
campaign,27,/pdf_files/EFS_generated/PCC_07_164_3425_O_0_1.pdf,Mona Odom Campaign Fund,"Odom, Mona",March 10th Report,2007,Original
campaign,28,/pdf_files/EFS_generated/PCC_07_160_3425_A_2_1.pdf,Mona Odom Campaign Fund,"Odom, Mona",January 31st Report,2007,Amendment 2
campaign,28,/pdf_files/EFS_generated/PCC_07_160_2826_O_0_1.pdf,2006 Orange for Mayor,"Orange, Vincent",January 31st Report,2007,Original
campaign,28,/pdf_files/EFS_generated/PCC_07_168_2826_O_0_1.pdf,2006 Orange for Mayor,"Orange, Vincent",July 31st Report,2007,Original
campaign,28,/pdf_files/EFS_generated/PCC_07_182_3214_O_0_1.pdf,Committee to Elect Chris Otten,"Otten, Chris",Termination Report,2007,Original
campaign,28,/pdf_files/EFS_generated/PCC_07_160_3213_O_0_1.pdf,Mike Panetta for Shadow Representative,"Panetta, Mike",January 31st Report,2007,Original
campaign,28,/scan_image/EFS_PDFFiles_prod/CAN_07_182_3125_O_0_1.pdf,Pannell For Senator,"Pannell, Philip",Termination Report,2007,Original
campaign,28,/pdf_files/EFS_generated/PCC_07_160_2897_O_0_1.pdf,Kathy Patterson for Chairman Committee,"Patterson, Kathy",January 31st Report,2007,Original
campaign,28,/pdf_files/EFS_generated/PCC_07_182_2897_O_0_1.pdf,Kathy Patterson for Chairman Committee,"Patterson, Kathy",Termination Report,2007,Original
campaign,28,/scan_image/EFS_PDFFiles_prod/CAN_07_160_3310_O_0_1.pdf,Committee to Elect Jacque Patterson to School Board,"Patterson, Jacque",January 31st Report,2007,Original
campaign,28,/pdf_files/EFS_generated/PCC_07_182_2813_O_0_1.pdf,Perry for Council Committee,"Perry, Keith",Termination Report,2007,Original
campaign,29,/pdf_files/EFS_generated/PCC_07_160_2427_O_0_1.pdf,Mai for DC School Board,"Rahman, Mai Abdul",January 31st Report,2007,Original
campaign,29,/pdf_files/EFS_generated/PCC_07_168_3203_O_0_1.pdf,Committee to Elect Audrey Ray,"Ray, Audrey",July 31st Report,2007,Original
campaign,29,/pdf_files/EFS_generated/PCC_07_160_3203_O_0_1.pdf,Committee to Elect Audrey Ray,"Ray, Audrey",January 31st Report,2007,Original
campaign,29,/pdf_files/EFS_generated/PCC_07_182_3215_O_0_1.pdf,Lisa Raymond for Board of Education,"Raymond, Lisa",Termination Report,2007,Original
campaign,29,/pdf_files/EFS_generated/PCC_07_179_3736_O_0_1.pdf,Committee to Elect Greg Rhett,"Rhett, Greg",8 Day Pre General Election Report,2007,Original
campaign,29,/pdf_files/EFS_generated/PCC_07_164_3736_A_1_1.pdf,Committee to Elect Greg Rhett,"Rhett, Greg",March 10th Report,2007,Amendment 1
campaign,29,/pdf_files/EFS_generated/PCC_07_164_3736_O_0_1.pdf,Committee to Elect Greg Rhett,"Rhett, Greg",March 10th Report,2007,Original
campaign,29,/pdf_files/EFS_generated/PCC_07_166_3736_O_0_1.pdf,Committee to Elect Greg Rhett,"Rhett, Greg",June 10th Report,2007,Original
campaign,29,/pdf_files/EFS_generated/PCC_07_164_3736_A_2_1.pdf,Committee to Elect Greg Rhett,"Rhett, Greg",March 10th Report,2007,Amendment 2
campaign,29,/pdf_files/EFS_generated/PCC_07_281_3736_A_1_1.pdf,Committee to Elect Greg Rhett,"Rhett, Greg",8 Day Pre Special Election Report,2007,Amendment 1
campaign,30,/pdf_files/EFS_generated/PCC_07_166_3736_A_1_1.pdf,Committee to Elect Greg Rhett,"Rhett, Greg",June 10th Report,2007,Amendment 1
campaign,30,/pdf_files/EFS_generated/PCC_07_182_3736_O_0_1.pdf,Committee to Elect Greg Rhett,"Rhett, Greg",Termination Report,2007,Original
campaign,30,/pdf_files/EFS_generated/PCC_07_281_3440_O_0_1.pdf,Committee to Elect Eddie Rhodes,"Rhodes, Edward Eddie",8 Day Pre Special Election Report,2007,Original
campaign,30,/pdf_files/EFS_generated/PCC_07_173_3440_O_0_1.pdf,Committee to Elect Eddie Rhodes,"Rhodes, Edward Eddie",October 10th Report,2007,Original
campaign,30,/pdf_files/EFS_generated/PCC_07_182_3440_O_0_1.pdf,Committee to Elect Eddie Rhodes,"Rhodes, Edward Eddie",Termination Report,2007,Original
campaign,30,/pdf_files/EFS_generated/PCC_07_164_3440_A_1_1.pdf,Committee to Elect Eddie Rhodes,"Rhodes, Edward Eddie",March 10th Report,2007,Amendment 1
campaign,30,/scan_image/EFS_PDFFiles_prod/CAN_07_160_3440_O_0_1.pdf,Committee to Elect Eddie Rhodes,"Rhodes, Edward Eddie",January 31st Report,2007,Original
campaign,30,/pdf_files/EFS_generated/PCC_07_160_3440_A_1_1.pdf,Committee to Elect Eddie Rhodes,"Rhodes, Edward Eddie",January 31st Report,2007,Amendment 1
campaign,30,/pdf_files/EFS_generated/PCC_07_160_3440_A_2_1.pdf,Committee to Elect Eddie Rhodes,"Rhodes, Edward Eddie",January 31st Report,2007,Amendment 2
campaign,30,/pdf_files/EFS_generated/PCC_07_164_3440_O_0_1.pdf,Committee to Elect Eddie Rhodes,"Rhodes, Edward Eddie",March 10th Report,2007,Original
campaign,31,/pdf_files/EFS_generated/PCC_07_175_3460_O_0_1.pdf,Rice 2007,"Rice, Johnnie Scott",December 10th Report,2007,Original
campaign,31,/pdf_files/EFS_generated/PCC_07_281_3460_O_0_1.pdf,Rice 2007,"Rice, Johnnie Scott",8 Day Pre Special Election Report,2007,Original
campaign,31,/pdf_files/EFS_generated/PCC_07_173_3460_O_0_1.pdf,Rice 2007,"Rice, Johnnie Scott",October 10th Report,2007,Original
campaign,31,/pdf_files/EFS_generated/PCC_07_160_3460_O_0_1.pdf,Rice 2007,"Rice, Johnnie Scott",January 31st Report,2007,Original
campaign,31,/pdf_files/EFS_generated/PCC_07_164_3460_O_0_1.pdf,Rice 2007,"Rice, Johnnie Scott",March 10th Report,2007,Original
campaign,31,/pdf_files/EFS_generated/PCC_07_166_3460_O_0_1.pdf,Rice 2007,"Rice, Johnnie Scott",June 10th Report,2007,Original
campaign,31,/pdf_files/EFS_generated/PCC_07_281_3460_A_1_1.pdf,Rice 2007,"Rice, Johnnie Scott",8 Day Pre Special Election Report,2007,Amendment 1
campaign,31,/pdf_files/EFS_generated/PCC_07_170_3460_O_0_1.pdf,Rice 2007,"Rice, Johnnie Scott",August 10th Report,2007,Original
campaign,31,/pdf_files/EFS_generated/PCC_07_182_3193_O_0_1.pdf,Bill Rice for Ward 3,"Rice, Bill",Termination Report,2007,Original
campaign,31,/pdf_files/EFS_generated/PCC_07_182_3734_O_0_1.pdf,Campaign Comm. to Elect Sean Riley,"Riley, Sean",Termination Report,2007,Original
campaign,32,/scan_image/EFS_PDFFiles_prod/CAN_07_281_3450_O_0_1.pdf,Committee to Elect Julie Rones for Ward 7 Council,"Rones, Julie",8 Day Pre Special Election Report,2007,Original
campaign,32,/pdf_files/EFS_generated/PCC_07_182_3450_O_0_1.pdf,Committee to Elect Julie Rones for Ward 7 Council,"Rones, Julie",Termination Report,2007,Original
campaign,32,/pdf_files/EFS_generated/PCC_07_281_3450_A_1_1.pdf,Committee to Elect Julie Rones for Ward 7 Council,"Rones, Julie",8 Day Pre Special Election Report,2007,Amendment 1
campaign,32,/scan_image/EFS_PDFFiles_prod/CAN_07_170_3450_O_0_1.pdf,Committee to Elect Julie Rones for Ward 7 Council,"Rones, Julie",August 10th Report,2007,Original
campaign,32,/scan_image/EFS_PDFFiles_prod/CAN_07_164_3450_O_0_1.pdf,Committee to Elect Julie Rones for Ward 7 Council,"Rones, Julie",March 10th Report,2007,Original
campaign,32,/pdf_files/EFS_generated/PCC_07_160_3450_O_0_1.pdf,Committee to Elect Julie Rones for Ward 7 Council,"Rones, Julie",January 31st Report,2007,Original
campaign,32,/pdf_files/EFS_generated/PCC_07_160_3282_O_0_1.pdf,Committee to Elect Laurent Ross,"Ross, Laurent",January 31st Report,2007,Original
campaign,32,/pdf_files/EFS_generated/PCC_07_182_3282_O_0_1.pdf,Committee to Elect Laurent Ross,"Ross, Laurent",Termination Report,2007,Original
campaign,32,/pdf_files/EFS_generated/PCC_07_160_3282_A_1_1.pdf,Committee to Elect Laurent Ross,"Ross, Laurent",January 31st Report,2007,Amendment 1
campaign,32,/pdf_files/EFS_generated/PCC_07_281_3749_O_0_1.pdf,Herb Scott for District II BOE,"Scott, Herb",8 Day Pre Special Election Report,2007,Original
campaign,33,/pdf_files/EFS_generated/PCC_07_281_3749_A_1_1.pdf,Herb Scott for District II BOE,"Scott, Herb",8 Day Pre Special Election Report,2007,Amendment 1
campaign,33,/pdf_files/EFS_generated/PCC_07_166_3749_O_0_1.pdf,Herb Scott for District II BOE,"Scott, Herb",June 10th Report,2007,Original
campaign,33,/pdf_files/EFS_generated/PCC_07_164_3749_O_0_1.pdf,Herb Scott for District II BOE,"Scott, Herb",March 10th Report,2007,Original
campaign,33,/pdf_files/EFS_generated/PCC_07_182_3749_O_0_1.pdf,Herb Scott for District II BOE,"Scott, Herb",Termination Report,2007,Original
campaign,33,/scan_image/EFS_PDFFiles_prod/CAN_07_281_3414_O_0_1.pdf,Comm. to Elect Singleton to Council,"Singleton, Dwight",8 Day Pre Special Election Report,2007,Original
campaign,33,/scan_image/EFS_PDFFiles_prod/CAN_07_160_3414_O_0_1.pdf,Comm. to Elect Singleton to Council,"Singleton, Dwight",January 31st Report,2007,Original
campaign,33,/scan_image/EFS_PDFFiles_prod/CAN_07_164_3414_O_0_1.pdf,Comm. to Elect Singleton to Council,"Singleton, Dwight",March 10th Report,2007,Original
campaign,33,/pdf_files/EFS_generated/PCC_07_182_3414_O_0_1.pdf,Comm. to Elect Singleton to Council,"Singleton, Dwight",Termination Report,2007,Original
campaign,33,/pdf_files/EFS_generated/PCC_07_182_3198_O_0_1.pdf,Friends to Elect Marcus Skelton,"Skelton, Marcus",Termination Report,2007,Original
campaign,33,/pdf_files/EFS_generated/PCC_07_160_3198_O_0_1.pdf,Friends to Elect Marcus Skelton,"Skelton, Marcus",January 31st Report,2007,Original
campaign,34,/pdf_files/EFS_generated/PCC_07_179_3480_O_0_1.pdf,Skelton for Seven,"Skelton, Marcus",8 Day Pre General Election Report,2007,Original
campaign,34,/pdf_files/EFS_generated/PCC_07_182_3480_O_0_1.pdf,Skelton for Seven,"Skelton, Marcus",Termination Report,2007,Original
campaign,34,/pdf_files/EFS_generated/PCC_07_160_3480_O_0_1.pdf,Skelton for Seven,"Skelton, Marcus",January 31st Report,2007,Original
campaign,34,/pdf_files/EFS_generated/PCC_07_164_3480_O_0_1.pdf,Skelton for Seven,"Skelton, Marcus",March 10th Report,2007,Original
campaign,34,/scan_image/EFS_PDFFiles_prod/CAN_07_182_3447_O_0_1.pdf,Doug Sloan 4 Ward 4 Council,"Sloan, Douglass",Termination Report,2007,Original
campaign,34,/scan_image/EFS_PDFFiles_prod/CAN_07_182_3447_A_1_1.pdf,Doug Sloan 4 Ward 4 Council,"Sloan, Douglass",Termination Report,2007,Amendment 1
campaign,34,/pdf_files/EFS_generated/PCC_07_281_3447_O_0_1.pdf,Doug Sloan 4 Ward 4 Council,"Sloan, Douglass",8 Day Pre Special Election Report,2007,Original
campaign,34,/pdf_files/EFS_generated/PCC_07_281_3447_A_1_1.pdf,Doug Sloan 4 Ward 4 Council,"Sloan, Douglass",8 Day Pre Special Election Report,2007,Amendment 1
campaign,34,/pdf_files/EFS_generated/PCC_07_160_3447_A_1_1.pdf,Doug Sloan 4 Ward 4 Council,"Sloan, Douglass",January 31st Report,2007,Amendment 1
campaign,34,/pdf_files/EFS_generated/PCC_07_160_3447_A_2_1.pdf,Doug Sloan 4 Ward 4 Council,"Sloan, Douglass",January 31st Report,2007,Amendment 2
campaign,35,/pdf_files/EFS_generated/PCC_07_160_3447_O_0_1.pdf,Doug Sloan 4 Ward 4 Council,"Sloan, Douglass",January 31st Report,2007,Original
campaign,35,/pdf_files/EFS_generated/PCC_07_164_3447_O_0_1.pdf,Doug Sloan 4 Ward 4 Council,"Sloan, Douglass",March 10th Report,2007,Original
campaign,35,/pdf_files/EFS_generated/PCC_07_164_3447_A_1_1.pdf,Doug Sloan 4 Ward 4 Council,"Sloan, Douglass",March 10th Report,2007,Amendment 1
campaign,35,/pdf_files/EFS_generated/PCC_07_164_3447_A_2_1.pdf,Doug Sloan 4 Ward 4 Council,"Sloan, Douglass",March 10th Report,2007,Amendment 2
campaign,35,/pdf_files/EFS_generated/PCC_07_168_3210_O_0_1.pdf,STRAUSS FOR WARD 3 COUNCIL,"Strauss, Paul",July 31st Report,2007,Original
campaign,35,/pdf_files/EFS_generated/PCC_07_160_3210_O_0_1.pdf,STRAUSS FOR WARD 3 COUNCIL,"Strauss, Paul",January 31st Report,2007,Original
campaign,35,/pdf_files/EFS_generated/PCC_07_160_9_O_0_1.pdf,Committee to Re-Elect U.S. Senator Strauss,"Strauss, Paul",January 31st Report,2007,Original
campaign,35,/pdf_files/EFS_generated/PCC_07_168_9_O_0_1.pdf,Committee to Re-Elect U.S. Senator Strauss,"Strauss, Paul",July 31st Report,2007,Original
campaign,35,/pdf_files/EFS_generated/PCC_07_160_37_O_0_1.pdf,Committee to Elect Harry L. Thomas,"Thomas, Harry",January 31st Report,2007,Original
campaign,35,/pdf_files/EFS_generated/PCC_07_168_37_O_0_1.pdf,Committee to Elect Harry L. Thomas,"Thomas, Harry",July 31st Report,2007,Original
campaign,36,/pdf_files/EFS_generated/PCC_07_182_3165_O_0_1.pdf,Harry Tommy Thomas Jr. Ward 5 Comm.,"Thomas, Harry",Termination Report,2007,Original
campaign,36,/pdf_files/EFS_generated/PCC_07_168_3165_A_1_1.pdf,Harry Tommy Thomas Jr. Ward 5 Comm.,"Thomas, Harry",July 31st Report,2007,Amendment 1
campaign,36,/pdf_files/EFS_generated/PCC_07_160_3165_O_0_1.pdf,Harry Tommy Thomas Jr. Ward 5 Comm.,"Thomas, Harry",January 31st Report,2007,Original
campaign,36,/pdf_files/EFS_generated/PCC_07_281_3481_O_0_1.pdf,Carrie for Ward 7 City Council,"Thornhill, Carrie",8 Day Pre Special Election Report,2007,Original
campaign,36,/pdf_files/EFS_generated/PCC_07_160_3481_O_0_1.pdf,Carrie for Ward 7 City Council,"Thornhill, Carrie",January 31st Report,2007,Original
campaign,36,/pdf_files/EFS_generated/PCC_07_170_3481_O_0_1.pdf,Carrie for Ward 7 City Council,"Thornhill, Carrie",August 10th Report,2007,Original
campaign,36,/pdf_files/EFS_generated/PCC_07_182_3481_O_0_1.pdf,Carrie for Ward 7 City Council,"Thornhill, Carrie",Termination Report,2007,Original
campaign,36,/pdf_files/EFS_generated/PCC_07_164_3481_O_0_1.pdf,Carrie for Ward 7 City Council,"Thornhill, Carrie",March 10th Report,2007,Original
campaign,36,/pdf_files/EFS_generated/PCC_07_166_3481_O_0_1.pdf,Carrie for Ward 7 City Council,"Thornhill, Carrie",June 10th Report,2007,Original
campaign,36,/pdf_files/EFS_generated/PCC_07_160_3130_O_0_1.pdf,Committee to Elect Osie Thorpe Mayor,"Thorpe, Osie",January 31st Report,2007,Original
campaign,37,/pdf_files/EFS_generated/PCC_07_182_3489_O_0_1.pdf,Committee to Elect Christine M. Tolson,"Tolson, Christine",Termination Report,2007,Original
campaign,37,/scan_image/EFS_PDFFiles_prod/CAN_07_281_3489_O_0_1.pdf,Committee to Elect Christine M. Tolson,"Tolson, Christine",8 Day Pre Special Election Report,2007,Original
campaign,37,/pdf_files/EFS_generated/PCC_07_160_3489_O_0_1.pdf,Committee to Elect Christine M. Tolson,"Tolson, Christine",January 31st Report,2007,Original
campaign,37,/pdf_files/EFS_generated/PCC_07_164_3489_O_0_1.pdf,Committee to Elect Christine M. Tolson,"Tolson, Christine",March 10th Report,2007,Original
campaign,37,/pdf_files/EFS_generated/PCC_07_175_3477_O_0_1.pdf,Towns 2007,"Towns, Anthony Tony",December 10th Report,2007,Original
campaign,37,/pdf_files/EFS_generated/PCC_07_166_3477_O_0_1.pdf,Towns 2007,"Towns, Anthony Tony",June 10th Report,2007,Original
campaign,37,/scan_image/EFS_PDFFiles_prod/CAN_07_166_3477_O_0_3.pdf,Towns 2007,"Towns, Anthony Tony",June 10th Report,2007,Original
campaign,37,/pdf_files/EFS_generated/PCC_07_281_3477_O_0_1.pdf,Towns 2007,"Towns, Anthony Tony",8 Day Pre Special Election Report,2007,Original
campaign,37,/scan_image/EFS_PDFFiles_prod/CAN_07_160_3477_O_0_1.pdf,Towns 2007,"Towns, Anthony Tony",January 31st Report,2007,Original
campaign,37,/pdf_files/EFS_generated/PCC_07_164_3477_O_0_1.pdf,Towns 2007,"Towns, Anthony Tony",March 10th Report,2007,Original
campaign,38,/pdf_files/EFS_generated/PCC_07_281_3477_A_1_1.pdf,Towns 2007,"Towns, Anthony Tony",8 Day Pre Special Election Report,2007,Amendment 1
campaign,38,/pdf_files/EFS_generated/PCC_07_281_3485_O_0_1.pdf,Iris Toyer for Ward 7 Council,"Toyer, Iris",8 Day Pre Special Election Report,2007,Original
campaign,38,/pdf_files/EFS_generated/PCC_07_281_3485_A_1_1.pdf,Iris Toyer for Ward 7 Council,"Toyer, Iris",8 Day Pre Special Election Report,2007,Amendment 1
campaign,38,/pdf_files/EFS_generated/PCC_07_160_3485_O_0_1.pdf,Iris Toyer for Ward 7 Council,"Toyer, Iris",January 31st Report,2007,Original
campaign,38,/pdf_files/EFS_generated/PCC_07_164_3485_O_0_1.pdf,Iris Toyer for Ward 7 Council,"Toyer, Iris",March 10th Report,2007,Original
campaign,38,/pdf_files/EFS_generated/PCC_07_182_3485_O_0_1.pdf,Iris Toyer for Ward 7 Council,"Toyer, Iris",Termination Report,2007,Original
campaign,38,/scan_image/EFS_PDFFiles_prod/CAN_07_160_3490_O_0_1.pdf,Trabue 2007,"Trabue, Ted",January 31st Report,2007,Original
campaign,38,/scan_image/EFS_PDFFiles_prod/CAN_07_164_3490_O_0_1.pdf,Trabue 2007,"Trabue, Ted",March 10th Report,2007,Original
campaign,38,/pdf_files/EFS_generated/PCC_07_166_3490_O_0_1.pdf,Trabue 2007,"Trabue, Ted",June 10th Report,2007,Original
campaign,38,/scan_image/EFS_PDFFiles_prod/CAN_07_182_3490_O_0_1.pdf,Trabue 2007,"Trabue, Ted",Termination Report,2007,Original
campaign,39,/pdf_files/EFS_generated/PCC_07_281_3490_O_0_1.pdf,Trabue 2007,"Trabue, Ted",8 Day Pre Special Election Report,2007,Original
campaign,39,/pdf_files/EFS_generated/PCC_07_182_3449_O_0_1.pdf,Uqdah 44,"Uqdah, T.A.",Termination Report,2007,Original
campaign,39,/pdf_files/EFS_generated/PCC_07_281_3449_A_1_1.pdf,Uqdah 44,"Uqdah, T.A.",8 Day Pre Special Election Report,2007,Amendment 1
campaign,39,/pdf_files/EFS_generated/PCC_07_166_3449_O_0_1.pdf,Uqdah 44,"Uqdah, T.A.",June 10th Report,2007,Original
campaign,39,/pdf_files/EFS_generated/PCC_07_281_3449_O_0_1.pdf,Uqdah 44,"Uqdah, T.A.",8 Day Pre Special Election Report,2007,Original
campaign,39,/pdf_files/EFS_generated/PCC_07_160_3449_O_0_1.pdf,Uqdah 44,"Uqdah, T.A.",January 31st Report,2007,Original
campaign,39,/pdf_files/EFS_generated/PCC_07_166_3449_A_1_1.pdf,Uqdah 44,"Uqdah, T.A.",June 10th Report,2007,Amendment 1
campaign,39,/pdf_files/EFS_generated/PCC_07_164_3449_O_0_1.pdf,Uqdah 44,"Uqdah, T.A.",March 10th Report,2007,Original
campaign,39,/pdf_files/EFS_generated/PCC_07_281_3431_O_0_1.pdf,Dr. Victor Vandell for Ward 7,"Vandell, Victor",8 Day Pre Special Election Report,2007,Original
campaign,39,/pdf_files/EFS_generated/PCC_07_160_3431_A_1_1.pdf,Dr. Victor Vandell for Ward 7,"Vandell, Victor",January 31st Report,2007,Amendment 1
campaign,40,/pdf_files/EFS_generated/PCC_07_160_3431_O_0_1.pdf,Dr. Victor Vandell for Ward 7,"Vandell, Victor",January 31st Report,2007,Original
campaign,40,/pdf_files/EFS_generated/PCC_07_164_3431_O_0_1.pdf,Dr. Victor Vandell for Ward 7,"Vandell, Victor",March 10th Report,2007,Original
campaign,40,/pdf_files/EFS_generated/PCC_07_160_3431_A_2_1.pdf,Dr. Victor Vandell for Ward 7,"Vandell, Victor",January 31st Report,2007,Amendment 2
campaign,40,/pdf_files/EFS_generated/PCC_07_166_3431_O_0_1.pdf,Dr. Victor Vandell for Ward 7,"Vandell, Victor",June 10th Report,2007,Original
campaign,40,/pdf_files/EFS_generated/PCC_07_170_3431_O_0_1.pdf,Dr. Victor Vandell for Ward 7,"Vandell, Victor",August 10th Report,2007,Original
campaign,40,/pdf_files/EFS_generated/PCC_07_182_3507_O_0_1.pdf,Committee to Elect Emily Y. Washington,"Washington, Emily",Termination Report,2007,Original
campaign,40,/pdf_files/EFS_generated/PCC_07_281_3507_O_0_1.pdf,Committee to Elect Emily Y. Washington,"Washington, Emily",8 Day Pre Special Election Report,2007,Original
campaign,40,/pdf_files/EFS_generated/PCC_07_160_3507_O_0_1.pdf,Committee to Elect Emily Y. Washington,"Washington, Emily",January 31st Report,2007,Original
campaign,40,/pdf_files/EFS_generated/PCC_07_164_3507_O_0_1.pdf,Committee to Elect Emily Y. Washington,"Washington, Emily",March 10th Report,2007,Original
campaign,40,/scan_image/EFS_PDFFiles_prod/CAN_07_166_3507_O_0_1.pdf,Committee to Elect Emily Y. Washington,"Washington, Emily",June 10th Report,2007,Original
campaign,41,/pdf_files/EFS_generated/PCC_07_168_2889_O_0_1.pdf,Wells for Ward 6,"Wells, Tommy",July 31st Report,2007,Original
campaign,41,/pdf_files/EFS_generated/PCC_07_160_2889_A_2_1.pdf,Wells for Ward 6,"Wells, Tommy",January 31st Report,2007,Amendment 2
campaign,41,/scan_image/EFS_PDFFiles_prod/CAN_07_160_2889_O_0_1.pdf,Wells for Ward 6,"Wells, Tommy",January 31st Report,2007,Original
campaign,41,/pdf_files/EFS_generated/PCC_07_160_2889_A_1_1.pdf,Wells for Ward 6,"Wells, Tommy",January 31st Report,2007,Amendment 1
campaign,41,/pdf_files/EFS_generated/PCC_07_182_2898_O_0_1.pdf,Committee to Elect Frank Wilds Councilmember for Ward-5,"Wilds, Frank",Termination Report,2007,Original
campaign,41,/pdf_files/EFS_generated/PCC_07_281_3462_O_0_1.pdf,"Campaign to Elect Justina Wilkins, City Council Ward 7","Wilkins, Justina",8 Day Pre Special Election Report,2007,Original
